BirthYear;Country;Name;Gender;NumberOfName;Order
2018;TÜRKİYE;MURAT;Erkek;533816;7
2018;TÜRKİYE;İBRAHİM;Erkek;523292;8
2018;TÜRKİYE;YUSUF;Erkek;498318;9
2018;TÜRKİYE;İSMAİL;Erkek;460388;10
2018;TÜRKİYE;ÖMER;Erkek;406706;11
2018;TÜRKİYE;RAMAZAN;Erkek;373130;12
2018;TÜRKİYE;OSMAN;Erkek;329841;13
2018;TÜRKİYE;ABDULLAH;Erkek;278112;14
2018;TÜRKİYE;FATİH;Erkek;254977;15
2018;TÜRKİYE;EMRE;Erkek;242609;16
2018;TÜRKİYE;HALİL;Erkek;240737;17
2018;TÜRKİYE;SÜLEYMAN;Erkek;232860;18
2018;TÜRKİYE;HAKAN;Erkek;219926;19
2018;TÜRKİYE;ADEM;Erkek;200701;20
2018;TÜRKİYE;KADİR;Erkek;197913;21
2018;TÜRKİYE;MAHMUT;Erkek;192127;22
2018;TÜRKİYE;RECEP;Erkek;191235;23
2018;TÜRKİYE;FURKAN;Erkek;181381;24
2018;TÜRKİYE;SERKAN;Erkek;176579;25
2018;TÜRKİYE;BURAK;Erkek;176086;26
2018;TÜRKİYE;MUHAMMED;Erkek;170700;27
2018;TÜRKİYE;METİN;Erkek;170269;28
2018;TÜRKİYE;SALİH;Erkek;167886;29
2018;TÜRKİYE;GÖKHAN;Erkek;162558;30
2024;TÜRKİYE;FATMA;Kadın;1164268;1
2024;TÜRKİYE;AYŞE;Kadın;915587;2
2024;TÜRKİYE;EMİNE;Kadın;784176;3
2024;TÜRKİYE;HATİCE;Kadın;714977;4
2024;TÜRKİYE;ZEYNEP;Kadın;704355;5
2024;TÜRKİYE;ELİF;Kadın;553984;6
2024;TÜRKİYE;MERYEM;Kadın;319635;7
2024;TÜRKİYE;MERVE;Kadın;293302;8
2024;TÜRKİYE;ZEHRA;Kadın;268273;9
2024;TÜRKİYE;ESRA;Kadın;248215;10
2024;TÜRKİYE;ÖZLEM;Kadın;234031;11
2024;TÜRKİYE;BÜŞRA;Kadın;213948;12
2024;TÜRKİYE;YASEMİN;Kadın;212244;13
2024;TÜRKİYE;MELEK;Kadın;197270;14
2024;TÜRKİYE;HÜLYA;Kadın;197041;15
2024;TÜRKİYE;SULTAN;Kadın;192631;16
2024;TÜRKİYE;KÜBRA;Kadın;191995;17
2024;TÜRKİYE;DİLEK;Kadın;189049;18
2024;TÜRKİYE;LEYLA;Kadın;184111;19
2024;TÜRKİYE;RABİA;Kadın;184010;20
2024;TÜRKİYE;SONGÜL;Kadın;179705;21
2024;TÜRKİYE;AYSEL;Kadın;165898;22
2024;TÜRKİYE;SEVİM;Kadın;161326;23
2024;TÜRKİYE;TUĞBA;Kadın;161156;24
2024;TÜRKİYE;HACER;Kadın;160535;25
2024;TÜRKİYE;FADİME;Kadın;158310;26
2024;TÜRKİYE;YAĞMUR;Kadın;156877;27
2024;TÜRKİYE;AYNUR;Kadın;156652;28
2024;TÜRKİYE;HAVVA;Kadın;155080;29
2024;TÜRKİYE;AYŞEGÜL;Kadın;153376;30
2023;TÜRKİYE;FATMA;Kadın;1177080;1
2023;TÜRKİYE;AYŞE;Kadın;924535;2
2023;TÜRKİYE;EMİNE;Kadın;791982;3
2023;TÜRKİYE;HATİCE;Kadın;720838;4
2023;TÜRKİYE;ZEYNEP;Kadın;700699;5
2023;TÜRKİYE;ELİF;Kadın;551333;6
2023;TÜRKİYE;MERYEM;Kadın;318842;7
2023;TÜRKİYE;MERVE;Kadın;293069;8
2023;TÜRKİYE;ZEHRA;Kadın;267519;9
2023;TÜRKİYE;ESRA;Kadın;248138;10
2023;TÜRKİYE;ÖZLEM;Kadın;234219;11
2023;TÜRKİYE;BÜŞRA;Kadın;213306;12
2023;TÜRKİYE;YASEMİN;Kadın;212188;13
2023;TÜRKİYE;HÜLYA;Kadın;197331;14
2023;TÜRKİYE;MELEK;Kadın;197080;15
2023;TÜRKİYE;SULTAN;Kadın;194261;16
2023;TÜRKİYE;KÜBRA;Kadın;191731;17
2023;TÜRKİYE;DİLEK;Kadın;189322;18
